"","shape","changeType","blockNum","trialID","response","confidence","rt","subjectID","experimentName","experimentVersion","experimentTime","studyID","sessionID","browserName","browserVersion","displayWindowHeight","displayWindowWidth","displayScreenHeight","displayScreenWidth","change_key","gender","age","taskGuess","purposeGuess","commentText","totalTime","collapsedChange","correctAnswer","fullShapeName","shape_color","video_direction","responded_correctly","count","analysisChangeType"
"1","shape6","no_change1",0,0,"same",8,5088.3,"558980cdfdf99b7ae47f5a75","ducktruck","control",2127077.7,"611a8cbde46ef77ccdf8b0c1","611abc2dcbd349bae6b453c2","Chrome",92,761,1453,1440,2560,"q"," -- select an option -- ",NA,"Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ","Determining if people could detect a change in objects when shown similar ones in rapid succession.","Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,"no_change","same","shape6_no_change1",0.745635528,"rl",1,1,"none"
"2","catch_shape","change1",0,1,"different",9,3265.9,"558980cdfdf99b7ae47f5a75","ducktruck","control",2127077.7,"611a8cbde46ef77ccdf8b0c1","611abc2dcbd349bae6b453c2","Chrome",92,761,1453,1440,2560,"q"," -- select an option -- ",NA,"Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ","Determining if people could detect a change in objects when shown similar ones in rapid succession.","Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,"change1","different","catch_shape_change1",0.285460346,"lr",1,1,"none"
"3","shape4","no_change1",0,2,"same",9,2182.2,"558980cdfdf99b7ae47f5a75","ducktruck","control",2127077.7,"611a8cbde46ef77ccdf8b0c1","611abc2dcbd349bae6b453c2","Chrome",92,761,1453,1440,2560,"q"," -- select an option -- ",NA,"Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ","Determining if people could detect a change in objects when shown similar ones in rapid succession.","Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,"no_change","same","shape4_no_change1",0.088270385,"rl",1,1,"none"
"4","shape5","no_change4",0,3,"same",9,3093.5,"558980cdfdf99b7ae47f5a75","ducktruck","control",2127077.7,"611a8cbde46ef77ccdf8b0c1","611abc2dcbd349bae6b453c2","Chrome",92,761,1453,1440,2560,"q"," -- select an option -- ",NA,"Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ","Determining if people could detect a change in objects when shown similar ones in rapid succession.","Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,"no_change","same","shape5_no_change4",0.613567155,"rl",1,1,"none"
"5","shape1","no_change4",0,4,"same",9,1870.6,"558980cdfdf99b7ae47f5a75","ducktruck","control",2127077.7,"611a8cbde46ef77ccdf8b0c1","611abc2dcbd349bae6b453c2","Chrome",92,761,1453,1440,2560,"q"," -- select an option -- ",NA,"Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ","Determining if people could detect a change in objects when shown similar ones in rapid succession.","Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,"no_change","same","shape1_no_change4",0.658603498,"rl",1,1,"none"
"6","shape8","no_change5",0,5,"same",9,1741.4,"558980cdfdf99b7ae47f5a75","ducktruck","control",2127077.7,"611a8cbde46ef77ccdf8b0c1","611abc2dcbd349bae6b453c2","Chrome",92,761,1453,1440,2560,"q"," -- select an option -- ",NA,"Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ","Determining if people could detect a change in objects when shown similar ones in rapid succession.","Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,"no_change","same","shape8_no_change5",0.568193067,"lr",1,1,"none"
"7","shape3","no_change3",0,6,"same",9,2165.9,"558980cdfdf99b7ae47f5a75","ducktruck","control",2127077.7,"611a8cbde46ef77ccdf8b0c1","611abc2dcbd349bae6b453c2","Chrome",92,761,1453,1440,2560,"q"," -- select an option -- ",NA,"Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ","Determining if people could detect a change in objects when shown similar ones in rapid succession.","Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,"no_change","same","shape3_no_change3",0.908211369,"lr",1,1,"none"
"8","shape2","no_change6",0,7,"same",9,2702,"558980cdfdf99b7ae47f5a75","ducktruck","control",2127077.7,"611a8cbde46ef77ccdf8b0c1","611abc2dcbd349bae6b453c2","Chrome",92,761,1453,1440,2560,"q"," -- select an option -- ",NA,"Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ","Determining if people could detect a change in objects when shown similar ones in rapid succession.","Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,"no_change","same","shape2_no_change6",0.968780552,"lr",1,1,"none"
"9","shape7","concave_nofill_area1",0,8,"different",9,3021.6,"558980cdfdf99b7ae47f5a75","ducktruck","control",2127077.7,"611a8cbde46ef77ccdf8b0c1","611abc2dcbd349bae6b453c2","Chrome",92,761,1453,1440,2560,"q"," -- select an option -- ",NA,"Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ","Determining if people could detect a change in objects when shown similar ones in rapid succession.","Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,"concave_nofill_area1","different","shape7_concave_nofill_area1",NA,"",1,1,"concave_nofill"
"10","shape3","convex_area2",1,9,"same",9,1638.3,"558980cdfdf99b7ae47f5a75","ducktruck","control",2127077.7,"611a8cbde46ef77ccdf8b0c1","611abc2dcbd349bae6b453c2","Chrome",92,761,1453,1440,2560,"q"," -- select an option -- ",NA,"Looking at two photos of unusual shapes & trying to detect if there was a change between the two objects. ","Determining if people could detect a change in objects when shown similar ones in rapid succession.","Everything went well though I do want to mention there were a couple of times my dog started barking downstairs so I was a bit more distracted than I expected, though I do still feel fairly confident in most of my answers. ",2320196.7,"convex_area2","different","shape3_convex_area2",NA,"",0,1,"convex"
